Welcome to the BinaryCalculator
-42 - 52 = 34
-42 * 52 = -8
-279 + -885 = 884
-279 - -885 = 606
-279 * -885 = -893
27 + 6 = -31
27 - 6 = 21
27 * 6 = -30
62214031 + -186810638 = -124596607
62214031 - -186810638 = 249024669
62214031 * -186810638 = -117401810
1 + 0 = 1
1 - 0 = 1
1 * 0 = 0
-393893946297392 + 236779248236210 = -157114698061182
-393893946297392 - 236779248236210 = 495226712309022
-393893946297392 * 236779248236210 = 428807793043104
1066922182 + -1238534511 = -171612329
1066922182 - -1238534511 = -1989510603
1066922182 * -1238534511 = 618177574
-72883 + -67315 = 121946
-72883 - -67315 = -5568
-72883 * -67315 = 94185
-4518 + 24013 = 19495
-4518 - 24013 = -28531
-4518 * 24013 = -28654
-103136518117 + -487162975566 = 509212134093
-103136518117 - -487162975566 = 384026457449
-103136518117 * -487162975566 = 228179050694
-800157584556510 + 3815616465511138 = 3015458880954628
-800157584556510 - 3815616465511138 = -4615774050067648
-800157584556510 * 3815616465511138 = 7495239885184516
115122 + -120510 = -5388
115122 - -120510 = 235632
115122 * -120510 = -167452
-645024 + -631047 = 821081
-645024 - -631047 = -13977
-645024 * -631047 = 34144
347508289 + -205999305 = 141508984
347508289 - -205999305 = -520234230
347508289 * -205999305 = 174588663
-37493 + -69063 = -106556
-37493 - -69063 = 31570
-37493 * -69063 = -79373
7505 + 2486 = 9991
7505 - 2486 = 5019
7505 * 2486 = 45206
-1 + -1 = 0
-1 - -1 = 0
-1 * -1 = -1
26640023665182689 + 10028199737329587 = -35389370635415660
26640023665182689 - 10028199737329587 = 16611823927853102
26640023665182689 * 10028199737329587 = 13614350294985043
-3523 + 4953 = 1430
-3523 - 4953 = 7908
-3523 * 4953 = -459
47302749712 + -8014078579 = 39288671133
47302749712 - -8014078579 = 55316828291
47302749712 * -8014078579 = -67683373360
-15090767090091 + 7277247008035 = -7813520082056
-15090767090091 - 7277247008035 = 12816357990706
-15090767090091 * 7277247008035 = -12064338893153
-2 + -2 = 0
-2 - -2 = 0
-2 * -2 = 0
405 + -448 = -43
405 - -448 = -171
405 * -448 = -192
-219151355 + 240684317 = 21532962
-219151355 - 240684317 = 77035240
-219151355 * 240684317 = -14731887
-14675632113654599 + 65133984595400647 = 50458352481746048
-14675632113654599 - 65133984595400647 = -79809616709055246
-14675632113654599 * 65133984595400647 = -257606217660126513
-1 + -1 = 0
-1 - -1 = 0
-1 * -1 = -1
2936608857498 + 4742519628401 = 7679128485899
2936608857498 - 4742519628401 = -1805910770903
2936608857498 * 4742519628401 = 5499025327354
23081 + 52836 = 75917
23081 - 52836 = -29755
23081 * 52836 = 13828
3227510091424876 + 1131079678385771 = 4358589769810647
3227510091424876 - 1131079678385771 = 2096430413039105
3227510091424876 * 1131079678385771 = -311871878930140
-382 + -833 = 833
-382 - -833 = 451
-382 * -833 = 766
-183228914347895 + 33406938599243 = -149821975748652
-183228914347895 - 33406938599243 = -216635852947138
-183228914347895 * 33406938599243 = -123522994446557
87 + -133 = -46
87 - -133 = 220
87 * -133 = -307
1 + 3 = -4
1 - 3 = -2
1 * 3 = 3
-2 + 3 = 1
-2 - 3 = 3
-2 * 3 = 2
1616127189942 + 4004984640785 = -3174981191481
1616127189942 - 4004984640785 = -2388857450843
1616127189942 * 4004984640785 = 2973317893398
-63 + 441 = 378
-63 - 441 = -504
-63 * 441 = 889
-75917847 + 65663331 = -10254516
-75917847 - 65663331 = 126854278
-75917847 * 65663331 = 37114395
-789880293432 + 2075841620967 = 1285961327535
-789880293432 - 2075841620967 = 1532324596705
-789880293432 * 2075841620967 = 1451498401144
-1725 + -1597 = 774
-1725 - -1597 = -128
-1725 * -1597 = -1783
6928993 + 3522209 = -6326014
6928993 - 3522209 = 3406784
6928993 * 3522209 = -1624831
-1576233 + -913573 = 1704498
-1576233 - -913573 = -662660
-1576233 * -913573 = -1315987
-19214213120 + 23744411290 = 4530198170
-19214213120 - 23744411290 = 25760852326
-19214213120 * 23744411290 = -33306591232
-6331254 + -6182625 = 4263337
-6331254 - -6182625 = -148629
-6331254 * -6182625 = 7751350
0 + 0 = 0
0 - 0 = 0
0 * 0 = 0
-1 + 0 = -1
-1 - 0 = -1
-1 * 0 = 0
3674936 + 570162 = 4245098
3674936 - 570162 = 3104774
3674936 * 570162 = -31201040
59 + 10 = -59
59 - 10 = 49
59 * 10 = -50
1477962387294262 + -1860353490901332 = -382391103607070
1477962387294262 - -1860353490901332 = -1165283749174902
1477962387294262 * -1860353490901332 = 991960529143880
-36663071 + -27032259 = -63695330
-36663071 - -27032259 = -9630812
-36663071 * -27032259 = 49965725
-60490606 + -62254047 = 11473075
-60490606 - -62254047 = 1763441
-60490606 * -62254047 = -17565998
-2 + -2 = 0
-2 - -2 = 0
-2 * -2 = 0
285 + -1841 = -1556
285 - -1841 = -1970
285 * -1841 = -397
-449 + -1293 = -1742
-449 - -1293 = 844
-449 * -1293 = -1075
-6251 + -5928 = -12179
-6251 - -5928 = -323
-6251 * -5928 = -4680
-1 + 0 = -1
-1 - 0 = -1
-1 * 0 = 0
-4 + 3 = -1
-4 - 3 = 1
-4 * 3 = -4
-54411006442 + 15257197619 = -39153808823
-54411006442 - 15257197619 = 67770749411
-54411006442 * 15257197619 = -63556397470
-84 + 115 = 31
-84 - 115 = 57
-84 * 115 = 68
0 + -1 = -1
0 - -1 = 1
0 * -1 = 0
18220872 + -53592811 = -35371939
18220872 - -53592811 = -62404045
18220872 * -53592811 = 41599208
1 + -2 = -1
1 - -2 = -1
1 * -2 = -2
30608504621193 + -27136467501933 = 3472037119260
30608504621193 - -27136467501933 = -12623772054538
30608504621193 * -27136467501933 = 5698736865963
-102972 + 32537 = -70435
-102972 - 32537 = 126635
-102972 * 32537 = 62500
-189668472229218 + 1246785884456247 = 1057117412227029
-189668472229218 - 1246785884456247 = -1436454356685465
-189668472229218 * 1246785884456247 = -3091211339581966
1526892594278 + -8599477719101 = -7072585124823
1526892594278 - -8599477719101 = -7465815731037
1526892594278 * -8599477719101 = 2559386424242
-31422622021491 + -39622165289050 = -71044787310541
-31422622021491 - -39622165289050 = 8199543267559
-31422622021491 * -39622165289050 = -26100213283218
-56 + -21 = 51
-56 - -21 = -35
-56 * -21 = 24
-1305838 + 664962 = -640876
-1305838 - 664962 = -1970800
-1305838 * 664962 = 1526052
1275237687822380 + -2648218760308803 = -1372981072486423
1275237687822380 - -2648218760308803 = 3923456448131183
1275237687822380 * -2648218760308803 = -4384776437564292
21113047827207316 + -37403664700710705 = -16290616873503389
21113047827207316 - -37403664700710705 = 58516712527918021
21113047827207316 * -37403664700710705 = 23697387228914604
9458016 + 6973549 = 16431565
9458016 - 6973549 = 2484467
9458016 * 6973549 = 4302304
-8245224680445346 + -4133990613995997 = 5635183215040641
-8245224680445346 - -4133990613995997 = -4111234066449349
-8245224680445346 * -4133990613995997 = -8720524789567782
-113566668605399800 + 102001652675326262 = -11565015930073538
-113566668605399800 - 102001652675326262 = 72662054870985682
-113566668605399800 * 102001652675326262 = -63797298255353936
93954 + 6177 = 100131
93954 - 6177 = 87777
93954 * 6177 = -32958
-18355854656 + -29695427756 = -48051282412
-18355854656 - -29695427756 = 11339573100
-18355854656 * -29695427756 = -27733219584
-463794454169 + 321355125876 = -142439328293
-463794454169 - 321355125876 = -785149580045
-463794454169 * 321355125876 = 811554811564
107399 + 589274 = 696673
107399 - 589274 = -481875
107399 * 589274 = -414730
-4 + 10 = 6
-4 - 10 = -14
-4 * 10 = -8
-13011618 + -13431944 = -26443562
-13011618 - -13431944 = 420326
-13011618 * -13431944 = -21754352
1 + 6 = 7
1 - 6 = -5
1 * 6 = 6
0 + 0 = 0
0 - 0 = 0
0 * 0 = 0
137288514351 + -163322303056 = -26033788705
137288514351 - -163322303056 = -249144996481
137288514351 * -163322303056 = -255330569392
-4008707678 + 3606293817 = -402413861
-4008707678 - 3606293817 = 974933097
-4008707678 * 3606293817 = -116977902
4 + -3 = 1
4 - -3 = 7
4 * -3 = 4
1820811587 + -1298708666 = 522102921
1820811587 - -1298708666 = 3119520253
1820811587 * -1298708666 = -3531395758
-21472559891997 + 26353916756117 = 4881356864120
-21472559891997 - 26353916756117 = -47826476648114
-21472559891997 * 26353916756117 = -56051830836961
-10529904 + -32706297 = 23872663
-10529904 - -32706297 = 22176393
-10529904 * -32706297 = 383216
-1626 + -604 = -2230
-1626 - -604 = -1022
-1626 * -604 = -936
75641107488 + 229877620975 = -244237085425
75641107488 - 229877620975 = -154236513487
75641107488 * 229877620975 = -150031488544
194438937270258 + 188679757099203 = -179831259051851
194438937270258 - 188679757099203 = 5759180171055
194438937270258 * 188679757099203 = 111558928293206
77353131856152063 + -38467334919988843 = 38885796936163220
77353131856152063 - -38467334919988843 = 115820466776140906
77353131856152063 * -38467334919988843 = -260825333637192597
375 + 397 = -252
375 - 397 = -22
375 * 397 = 395
915563855806875 + 433568308697113 = 1349132164503988
915563855806875 - 433568308697113 = 481995547109762
915563855806875 * 433568308697113 = -29943394265255901
-995509198654706 + -692763171906013 = 563527443124529
-995509198654706 - -692763171906013 = -302746026748693
-995509198654706 * -692763171906013 = -591795848814870
-210709152391 + 173507006822 = -37202145569
-210709152391 - 173507006822 = -384216159213
-210709152391 * 173507006822 = 152719443766
1869 + 520 = -1707
1869 - 520 = 1349
1869 * 520 = 1128
-1398656643361 + 1780501482939 = 381844839578
-1398656643361 - 1780501482939 = 1218888384804
-1398656643361 * 1780501482939 = -1604263776283
-1143850258972278 + 274918771734093839 = 273774921475121561
-1143850258972278 - 274918771734093839 = -276062621993066117
-1143850258972278 * 274918771734093839 = 474254889702790934
-417211821915552 + -260167001322352 = 448521083604720
-417211821915552 - -260167001322352 = -157044820593200
-417211821915552 * -260167001322352 = 546970749228544
-135 + 222 = 87
-135 - 222 = 155
-135 * 222 = 238
-4846991876918853 + 5596676483523160 = 749684606604307
-4846991876918853 - 5596676483523160 = -10443668360442013
-4846991876918853 * 5596676483523160 = 209827298340424
-84529 + 21152 = -63377
-84529 - 21152 = -105681
-84529 * 21152 = 126816
-1 + -2 = 1
-1 - -2 = 1
-1 * -2 = -2
-19085234683388418 + -56136226384991399 = 68893727007476055
-19085234683388418 - -56136226384991399 = 37050991701602981
-19085234683388418 * -56136226384991399 = 9122053596043086
31140882780641883 + 415981688617594794 = 447122571398236677
31140882780641883 - 415981688617594794 = -384840805836952911
31140882780641883 * 415981688617594794 = -2786363017874
-3437003088957 + -45419323139846 = -48856326228803
-3437003088957 - -45419323139846 = 41982320050889
-3437003088957 * -45419323139846 = 66602066191470
-1807 + 1444 = -363
-1807 - 1444 = -3251
-1807 * 1444 = 3940
121176787838212705 + 80064365681919225 = -86989222631579814
121176787838212705 - 80064365681919225 = 41112422156293480
121176787838212705 * 80064365681919225 = 112270513426459737
122969725 + -137453042 = -14483317
122969725 - -137453042 = 260422767
122969725 * -137453042 = 234767574
4411839110047 + 69524992797026 = -66800656448255
4411839110047 - 69524992797026 = -65113153686979
4411839110047 * 69524992797026 = 43729284237790
240810790026770 + -281254990256775 = -40444200230005
240810790026770 - -281254990256775 = -40884173137767
240810790026770 * -281254990256775 = -173236358598526
40060 + -50118 = -10058
40060 - -50118 = -40894
40060 * -50118 = 33816
76365762095798 + 73869162318360 = -131240052296498
76365762095798 - 73869162318360 = 2496599777438
76365762095798 * 73869162318360 = -78863924126448
-4418838646485110 + -4318662639255678 = 269697969000204
-4418838646485110 - -4318662639255678 = -100176007229432
-4418838646485110 * -4318662639255678 = 1786112772889108
-14504084062482 + 22560496385388 = 8056412322906
-14504084062482 - 22560496385388 = 33304163729794
-14504084062482 * 22560496385388 = -29273834601880
-5658790034375 + -2832271619863 = -8491061654238
-5658790034375 - -2832271619863 = -2826518414512
-5658790034375 * -2832271619863 = 4496940654561
-64498801276401 + 861093290703595 = 796594489427194
-64498801276401 - 861093290703595 = -925592091979996
-64498801276401 * 861093290703595 = 968762620666309
-1988 + -914 = 1194
-1988 - -914 = -1074
-1988 * -914 = -1592
-14187 + 4746 = -9441
-14187 - 4746 = 13835
-14187 * 4746 = 6738
-412 + -958 = -1370
-412 - -958 = 546
-412 * -958 = 1480
-399 + 293 = -106
-399 - 293 = 332
-399 * 293 = -171
0 + 0 = 0
0 - 0 = 0
0 * 0 = 0
-1444381518831 + 1260475714366 = -183905804465
-1444381518831 - 1260475714366 = -2704857233197
-1444381518831 * 1260475714366 = -1754211510498
-7358948807 + 20350148187 = 12991199380
-7358948807 - 20350148187 = -27709096994
-7358948807 * 20350148187 = -53731508157
0 + 0 = 0
0 - 0 = 0
0 * 0 = 0
44165642443 + 24030018218 = 68195660661
44165642443 - 24030018218 = 20135624225
44165642443 * 24030018218 = -52061539122
62175433875 + 19766783976 = -55496735621
62175433875 - 19766783976 = 42408649899
62175433875 * 19766783976 = -34236882376
39317 + 90976 = 130293
39317 - 90976 = -51659
39317 * 90976 = -51488
-2519 + 6483 = 3964
-2519 - 6483 = 7382
-2519 * 6483 = 4171
-3225608 + -16366683 = 13962141
-3225608 - -16366683 = 13141075
-3225608 * -16366683 = 7129816
-195319463 + -1042623661 = 909540524
-195319463 - -1042623661 = 847304198
-195319463 * -1042623661 = 353780443
1127623728972688 + -3724512736537013 = -2596889007564325
1127623728972688 - -3724512736537013 = -4155062789231291
1127623728972688 * -3724512736537013 = 603341554199344
-156634 + 47544 = -109090
-156634 - 47544 = -204178
-156634 * 47544 = -20144
-149621592422 + 41365808305 = -108255784117
-149621592422 - 41365808305 = -190987400727
-149621592422 * 41365808305 = -45719920518
24091118527136 + 26417755635813 = -19859870014715
24091118527136 - 26417755635813 = -2326637108677
24091118527136 * 26417755635813 = 34420249356576
-7975252807573848 + -8813556230109563 = -16788809037683411
-7975252807573848 - -8813556230109563 = 838303422535715
-7975252807573848 * -8813556230109563 = -2380850112045752
-66633894530532 + -3122355263627 = -69756249794159
-66633894530532 - -3122355263627 = -63511539266905
-66633894530532 * -3122355263627 = 45879453870796
23053 + -242289 = -219236
23053 - -242289 = -258946
23053 * -242289 = -248253
9197524170370649 + -163393345760934 = 9034130824609715
9197524170370649 - -163393345760934 = 9360917516131583
9197524170370649 * -163393345760934 = 10743835115942986
-1794006 + 1576665 = -217341
-1794006 - 1576665 = 823633
-1794006 * 1576665 = -127078
-1253 + -1623 = 1220
-1253 - -1623 = 370
-1253 * -1623 = 2003
15397 + -14819 = 578
15397 - -14819 = -2552
15397 * -14819 = -4559
-102283768054585862 + 114170558050494403 = 11886789995908541
-102283768054585862 - 114170558050494403 = 71776050046631479
-102283768054585862 * 114170558050494403 = 78054828858164078
-1365909596979124 + -1791506861891804 = 1346183168499568
-1365909596979124 - -1791506861891804 = 425597264912680
-1365909596979124 * -1791506861891804 = -598113147339088
-10294 + 15978 = 5684
-10294 - 15978 = 6496
-10294 * 15978 = -14940
215131351204532515 + 204475261176627081 = -156854139922263892
215131351204532515 - 204475261176627081 = 10656090027905434
215131351204532515 * 204475261176627081 = -116003032828098373
30281770 + 12299704 = -24527390
30281770 - 12299704 = 17982066
30281770 * 12299704 = -4849616
50975630470406008 + -85885503615865081 = -34909873145459073
50975630470406008 - -85885503615865081 = 136861134086271089
50975630470406008 * -85885503615865081 = -129589877746686904
9411826585997 + 13439102639359 = -12333442863476
9411826585997 - 13439102639359 = -4027276053362
9411826585997 * 13439102639359 = 328438884211
-397983284229726564 + 454509619269007301 = 56526335039280737
-397983284229726564 - 454509619269007301 = 300428601108113111
-397983284229726564 * 454509619269007301 = 35142031355384332
1 + 0 = 1
1 - 0 = 1
1 * 0 = 0
1472064863 + 3265754273 = -3852115456
1472064863 - 3265754273 = -1793689410
1472064863 * 3265754273 = -3943017281
-27 + -22 = 15
-27 - -22 = -5
-27 * -22 = 18
-6 + 1 = -5
-6 - 1 = -7
-6 * 1 = -6
85317632776105 + -36783926725880 = 48533706050225
85317632776105 - -36783926725880 = 122101559501985
85317632776105 * -36783926725880 = 87453598378056
-11467061 + 12391606 = 924545
-11467061 - 12391606 = 9695765
-11467061 * 12391606 = 110674
84493364 + -55547643 = 28945721
84493364 - -55547643 = 140041007
84493364 * -55547643 = -102258428
-18171683232940 + -24582462361050 = 27614598583674
-18171683232940 - -24582462361050 = 6410779128110
-18171683232940 * -24582462361050 = -9527954856328
-6893694000975 + 16669831553224 = 9776137552249
-6893694000975 - 16669831553224 = -23563525554199
-6893694000975 * 16669831553224 = 22088266607176
43409052386672 + -271791509590037 = -228382457203365
43409052386672 - -271791509590037 = -247749391444603
43409052386672 * -271791509590037 = -179376556880432
-341240527230 + -573254675470 = -914495202700
-341240527230 - -573254675470 = 232014148240
-341240527230 * -573254675470 = 1052734835940
-65175 + 59601 = -5574
-65175 - 59601 = -124776
-65175 * 59601 = -45383
155276 + -199936 = -44660
155276 - -199936 = -169076
155276 * -199936 = -72704
-1841439126744 + -44231525410 = -1885670652154
-1841439126744 - -44231525410 = -1797207601334
-1841439126744 * -44231525410 = -1449262816080
-382356132924920 + 3572255939363793 = 3189899806438873
-382356132924920 - 3572255939363793 = -3954612072288713
-382356132924920 * 3572255939363793 = -5803834607685496
-1 + 3 = 2
-1 - 3 = -4
-1 * 3 = -3
-2068280 + -61800130 = -63868410
-2068280 - -61800130 = 59731850
-2068280 * -61800130 = 1316976
-201544034 + -266239889 = -467783923
-201544034 - -266239889 = 64695855
-201544034 * -266239889 = -1002654078
-1332086089593 + 1047588054708 = -284498034885
-1332086089593 - 1047588054708 = 2018372366803
-1332086089593 * 1047588054708 = -1210641200916
-24405561077 + -111402105389 = -135807666466
-24405561077 - -111402105389 = 86996544312
-24405561077 * -111402105389 = -104844139759
9589227761113067 + 17754065543220294 = -8685503714630607
9589227761113067 - 17754065543220294 = -8164837782107227
9589227761113067 * 17754065543220294 = -8435987484586430
-4240880880263728 + 3586263050062639 = -654617830201089
-4240880880263728 - 3586263050062639 = -7827143930326367
-4240880880263728 * 3586263050062639 = -1536334406571728
-233 + -910 = 905
-233 - -910 = 677
-233 * -910 = -962
-1 + 0 = -1
-1 - 0 = -1
-1 * 0 = 0
6 + -5 = 1
6 - -5 = -5
6 * -5 = 2
-30228257 + 30549649 = 321392
-30228257 - 30549649 = -60777906
-30228257 * 30549649 = 21911631
-4036357111539442 + -1226614554658261 = 3744227588543289
-4036357111539442 - -1226614554658261 = -2809742556881181
-4036357111539442 * -1226614554658261 = 64748869443930
4478432621824 + 14052341990105 = -16653597476903
4478432621824 - 14052341990105 = -9573909368281
4478432621824 * 14052341990105 = -9607718802176
-22913 + 44104 = 21191
-22913 - 44104 = 64055
-22913 * 44104 = 10168
-6536514 + -20749569 = -27286083
-6536514 - -20749569 = 14213055
-6536514 * -20749569 = 15546178
-1670 + 1328 = -342
-1670 - 1328 = 1098
-1670 * 1328 = -1824
-6592970 + 4832887 = -1760083
-6592970 - 4832887 = 5351359
-6592970 * 4832887 = 8296218
19268492 + -21495532 = -2227040
19268492 - -21495532 = -26344840
19268492 * -21495532 = 26989296
3304878825925 + -13885287088241 = -10580408262316
3304878825925 - -13885287088241 = 17190165914166
3304878825925 * -13885287088241 = -14736994953205
8516011880440951 + 11884666648653612 = -15628118489869405
8516011880440951 - 11884666648653612 = -3368654768212661
8516011880440951 * 11884666648653612 = 10599377859206516
746706627 + -781385773 = -34679146
746706627 - -781385773 = -619391248
746706627 * -781385773 = -785104967
40708441966953 + -39328439888922 = 1380002078031
40708441966953 - -39328439888922 = -60700606499453
40708441966953 * -39328439888922 = -18703155675306
45129930235391198 + -65173597345730934 = -20043667110339736
45129930235391198 - -65173597345730934 = -33811660494733740
45129930235391198 * -65173597345730934 = -59007254996446292
505 + -257 = 248
505 - -257 = 762
505 * -257 = -761
-1287447634465 + 425439749006 = -862007885459
-1287447634465 - 425439749006 = -1712887383471
-1287447634465 * 425439749006 = 1387769810610
-13749423180197 + 6385133247560 = -7364289932637
-13749423180197 - 6385133247560 = -20134556427757
-13749423180197 * 6385133247560 = -13158252479080
53498709189508130 + -94466716842154517 = -40968007652646387
53498709189508130 - -94466716842154517 = -140264950120049097
53498709189508130 * -94466716842154517 = 59078260330634550
-52343554 + -327327388 = -379670942
-52343554 - -327327388 = 274983834
-52343554 * -327327388 = -432778952
-28793123548362965 + -15450705820202003 = 27813764669362968
-28793123548362965 - -15450705820202003 = -13342417728160962
-28793123548362965 * -15450705820202003 = -34213404697117745
-56 + 222 = 166
-56 - 222 = 234
-56 * 222 = -144
6181223286845855 + 1130320474983125 = 7311543761828980
6181223286845855 - 1130320474983125 = 5050902811862730
6181223286845855 * 1130320474983125 = 6225457502404427
-1 + -2 = 1
-1 - -2 = 1
-1 * -2 = -2
-9274669780071932 + -8844291274795237 = 17909835964096799
-9274669780071932 - -8844291274795237 = -430378505276695
-9274669780071932 * -8844291274795237 = -15660119082538388
-6491823271571 + -11112706170488 = 17579842646773
-6491823271571 - -11112706170488 = 4620882898917
-6491823271571 * -11112706170488 = -11566637986072
7287413185020 + -39423421555980 = -32136008370960
7287413185020 - -39423421555980 = 46710834741000
7287413185020 * -39423421555980 = 51528715820080
-40351184635 + 47242189417 = 6891004782
-40351184635 - 47242189417 = -87593374052
-40351184635 * 47242189417 = 19374175501
134346853372967 + -112339986823244 = 22006866549723
134346853372967 - -112339986823244 = -34788136514445
134346853372967 * -112339986823244 = -13333484110740
-2 + -98 = -100
-2 - -98 = 96
-2 * -98 = 196
150980550 + 223218806 = -162671556
150980550 - 223218806 = -72238256
150980550 * 223218806 = 261578052
431 + 1573 = 2004
431 - 1573 = -1142
431 * 1573 = -1973
213202135530468 + 339531527854755 = 552733663385223
213202135530468 - 339531527854755 = -126329392324287
213202135530468 * 339531527854755 = -209616326505940
-469366427 + 286772999 = -182593428
-469366427 - 286772999 = 317602398
-469366427 * 286772999 = -355078973
-45460632857 + -222519828992 = -267980461849
-45460632857 - -222519828992 = 177059196135
-45460632857 * -222519828992 = -153638645248
42602953015475 + -5508113140458401 = -5465510187442926
42602953015475 - -5508113140458401 = 5550716093473876
42602953015475 * -5508113140458401 = 966401972115053
932289860537 + -431848882091 = 500440978446
932289860537 - -431848882091 = 1364138742628
932289860537 * -431848882091 = 5406200351853
-282340 + -503240 = 262996
-282340 - -503240 = 220900
-282340 * -503240 = -412128
-1433154 + -369132 = -1802286
-1433154 - -369132 = -1064022
-1433154 * -369132 = -366888
224 + 98 = -190
224 - 98 = 126
224 * 98 = -64
562179260898 + -303199782290 = 258979478608
562179260898 - -303199782290 = 865379043188
562179260898 * -303199782290 = -697154075876
-3350 + 1865 = -1485
-3350 - 1865 = 2977
-3350 * 1865 = 2746
-2395813175 + -677051136 = -3072864311
-2395813175 - -677051136 = -1718762039
-2395813175 * -677051136 = 2156064000
30024 + 23433 = -12079
30024 - 23433 = 6591
30024 * 23433 = 23432
-482230155 + 802121856 = 319891701
-482230155 - 802121856 = 863131637
-482230155 * 802121856 = -257244544
-78651746286886876 + 113335081405074291 = 34683335118187415
-78651746286886876 - 113335081405074291 = -191986827691961167
-78651746286886876 * 113335081405074291 = -125636540483371988
-561175 + -350639 = -911814
-561175 - -350639 = -210536
-561175 * -350639 = -1737031
-2415 + 4631 = 2216
-2415 - 4631 = -7046
-2415 * 4631 = 6407
-1527552 + -3634218 = 3226838
-1527552 - -3634218 = 2106666
-1527552 * -3634218 = 2029056
-8265528700200 + 734147009950 = -7531381690250
-8265528700200 - 734147009950 = 8592510334266
-8265528700200 * 734147009950 = -2264882079408
-3377467 + -794965 = -4172432
-3377467 - -794965 = -2582502
-3377467 * -794965 = 1125271
54 + -506 = -452
54 - -506 = -464
54 * -506 = 324
24294 + 56706 = 81000
24294 - 56706 = -32412
24294 * 56706 = -213300
6438812070737051 + -4190107421706855 = 2248704649030196
6438812070737051 - -4190107421706855 = -7385479017038078
6438812070737051 * -4190107421706855 = -6208264042182749
64 + 202 = -246
64 - 202 = -138
64 * 202 = 128
2735706562254873 + 2851727012670816 = -3419765679815303
2735706562254873 - 2851727012670816 = -116020450415943
2735706562254873 * 2851727012670816 = -483933141373344
875550211 + -479431548 = 396118663
875550211 - -479431548 = -792501889
875550211 * -479431548 = 132625804
502 + 1934 = 2436
502 - 1934 = -1432
502 * 1934 = -3980
67190916945 + 271084881183 = 338275798128
67190916945 - 271084881183 = -203893964238
67190916945 * 271084881183 = 220387375055
-55212 + 16429 = -38783
-55212 - 16429 = 59431
-55212 * 16429 = -59708
-112049921638607 + -47424897122959 = 122000157949090
-112049921638607 - -47424897122959 = -64625024515648
-112049921638607 * -47424897122959 = 136726187725217
2000525 + 1885993 = -307786
2000525 - 1885993 = 114532
2000525 * 1885993 = -1628267
1700757467413 + -1122424996819 = 578332470594
1700757467413 - -1122424996819 = -1574864046872
1700757467413 * -1122424996819 = 1037408881841
186 + -129 = 57
186 - -129 = 315
186 * -129 = 582
-818548594190 + 179066402884 = -639482191306
-818548594190 - 179066402884 = -997614997074
-818548594190 * 179066402884 = -726944017336
661443385649 + 695829211753 = -841750658150
661443385649 - 695829211753 = -34385826104
661443385649 * 695829211753 = -84248600807
-108086035555450 + 23771329877988 = -84314705677462
-108086035555450 - 23771329877988 = -131857365433438
-108086035555450 * 23771329877988 = 134129691528536
-766094943880488 + -357252221112607 = -1123347164993095
-766094943880488 - -357252221112607 = -408842722767881
-766094943880488 * -357252221112607 = 1683858689476568
66 + 17 = 83
66 - 17 = 49
66 * 17 = 98
35307212672453 + 64818112221058 = 100125324893511
35307212672453 - 64818112221058 = -29510899548605
35307212672453 * 64818112221058 = -11723630753526
3765 + 8019 = -4600
3765 - 8019 = -4254
3765 * 8019 = -4177
-15816 + -21222 = 28498
-15816 - -21222 = 5406
-15816 * -21222 = -28240
0 + 0 = 0
0 - 0 = 0
0 * 0 = 0
-279969260782 + -1412044339910 = -1692013600692
-279969260782 - -1412044339910 = 1132075079128
-279969260782 * -1412044339910 = -12218076496876
-766353177 + 126280376 = -640072801
-766353177 - 126280376 = -892633553
-766353177 * 126280376 = -290745336
4628 + 1345 = 5973
4628 - 1345 = 3283
4628 * 1345 = -1260
-4 + 2 = -2
-4 - 2 = 2
-4 * 2 = 0
82 + 698 = 780
82 - 698 = -616
82 * 698 = -108
326 + 20 = 346
326 - 20 = 306
326 * 20 = 376
420042370496932 + -528315162444600 = -108272791947668
420042370496932 - -528315162444600 = -177542373901092
420042370496932 * -528315162444600 = 323930953447456
309983423618980 + 360616106821024 = -455300376402620
309983423618980 - 360616106821024 = -50632683202044
309983423618980 * 360616106821024 = -486704982787456
-7 + -13 = 12
-7 - -13 = 6
-7 * -13 = -5
101878974 + -24178144 = 77700830
101878974 - -24178144 = 126057118
101878974 * -24178144 = 39384000
583047 + -1222419 = -639372
583047 - -1222419 = 1805466
583047 * -1222419 = 1959419
84720786083977290 + 25701894613437450 = 110422680697414740
84720786083977290 - 25701894613437450 = 59018891470539840
84720786083977290 * 25701894613437450 = 103252725668211428
3347759 + 5167453 = 8515212
3347759 - 5167453 = -1819694
3347759 * 5167453 = -2782957
11458766951 + -3443895563 = 8014871388
11458766951 - -3443895563 = 14902662514
11458766951 * -3443895563 = 22636357779
1405937 + 8800996 = 10206933
1405937 - 8800996 = -7395059
1405937 * 8800996 = 12905636
0 + 5 = 5
0 - 5 = -5
0 * 5 = 0
7216 + 4652 = -4516
7216 - 4652 = 2564
7216 * 4652 = -1984
-19433076059328 + 192927858296453 = 173494782237125
-19433076059328 - 192927858296453 = -212360934355781
-19433076059328 * 192927858296453 = -74717721329600
-25605966315150 + -15279577472323 = 29483200390191
-25605966315150 - -15279577472323 = -10326388842827
-25605966315150 * -15279577472323 = 27619451925802
-1 + -56 = -57
-1 - -56 = 55
-1 * -56 = 56
128421585 + 25932120 = -114081751
128421585 - 25932120 = 102489465
128421585 * 25932120 = 131242200
-46392 + -130472 = 85280
-46392 - -130472 = 84080
